categories_list,FinanceSub,CapitalSub,ProcurementSub,LegalSub,ManufacturingSub,MarketingSub,MentoringSub,NetworkingSub,PlanningSub,RDSub,RegulatorySub,SpaceSub,HRSub,industries_list,communities_list
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Lease Review,Patent, Trademark, & Copyright Information","","Bid Matching and Preparation,Call Center Services,Competitive Analysis,E-Commerce/Internet Marketing,Graphic Design,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Locating Foreign Distributors,Networking/Exploring Exporting,Website Development","Formal Mentoring Programs,Peer Mentoring","Demographically Based,Networking/Exploring Exporting,Small Business/General","","","","","","Arts,Education,High Tech Services & Manufacturing,Professional Services,Restaurant & Hotel,Retail,Wholesale",LGBTQ
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Government Requirements,International Regulatory Compliance,Patent, Trademark, & Copyright Information","","Bid Matching and Preparation,Call Center Services,Competitive Analysis,E-Commerce/Internet Marketing,Import/Export Certification and Licensing,Networking/Exploring Exporting,Obtaining Corporate Contracts,Obtaining Government Contracts,Student Research/Marketing Projects,Website Development",Formal Mentoring Programs,"","","","","","","Agriculture,Arts,Education,Energy & Utilities,Fiance & Insurance,High Tech Services & Manufacturing,Real Estate,Restaurant & Hotel",Native American
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,International Regulatory Compliance,Lease Review,Registration, Licenses, & Permits","","HUBZone Certification,Locating Foreign Distributors,Networking/Exploring Exporting,Obtaining Corporate Contracts,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Trade Education and Training","One-to-One Counseling,Peer Mentoring","Industry Specific,Networking/Exploring Exporting","","","","","","Biosciences Services and Manufacturing,Construction,Energy & Utilities,High Tech Services & Manufacturing,Management,Manufacturing,Not for Profit,Professional Services,Restaurant & Hotel,Tourism,Transportation & Warehousing","Hispanic,Immigrant,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Insurance Requirements,International Regulatory Compliance,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,State and Federal Tax Training and Registration,Tax Credits","","E-Commerce/Internet Marketing,Feasibility Studies,HUBZone Certification,Import/Export Certification and Licensing,International Trade Training,Market Plan Development and Training,Market Research,Obtaining Corporate Contracts,Trade Education and Training",Formal Mentoring Programs,"Geographically Based,Small Business/General","","","","","","Agriculture,Arts,Construction,Education,Health & Childcare","African American,Immigrant,LGBTQ,Native American,Woman,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Insurance Requirements,International Regulatory Compliance,Tax Credits","","Call Center Services,Identification/Research of Foreign Markets,Locating Foreign Distributors,Market Research,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses,Website Development",One-to-One Counseling,"Demographically Based,Geographically Based,Industry Specific","","","","","","Agriculture,Biosciences Services and Manufacturing,Construction,Fiance & Insurance,Information Technology,Management,Not for Profit,Other Services,Retail","African American,Asian,Hispanic,Immigrant,LGBTQ,Native American,Other,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,International Regulatory Compliance,State and Federal Tax Training and Registration,Tax Credits","",HUBZone Certification,One-to-One Counseling,"","","","","","","Arts,Construction,Fiance & Insurance,Not for Profit,Retail,Tourism","Asian,Native American,Woman,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,International Regulatory Compliance,Patent, Trademark, & Copyright Information,State and Federal Tax Training and Registration","","Call Center Services,Competitive Analysis,E-Commerce/Internet Marketing,HUBZone Certification,Import/Export Certification and Licensing,International Trade Training,Market Plan Development and Training,Student Research/Marketing Projects,Website Development","Formal Mentoring Programs,One-to-One Counseling","","","","","","","Agriculture,Arts,Construction,Energy & Utilities,Fiance & Insurance,High Tech Services & Manufacturing,Information Technology,Management,Real Estate,Retail","Immigrant,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",Insurance Requirements,"","Call Center Services,Competitive Analysis,Selling to Foreign Governments and Businesses,Subcontracting Opportunities",One-to-One Counseling,"Geographically Based,Small Business/General","","","","","","Agriculture,Biosciences Services and Manufacturing,Health & Childcare,High Tech Services & Manufacturing,Management,Other Services,Personal Services,Transportation & Warehousing,Wholesale","LGBTQ,Veteran,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Insurance Requirements,International Regulatory Compliance,Registration, Licenses, & Permits","","Bid Matching and Preparation,Competitive Analysis,Graphic Design,HUBZone Certification,Market Research,Networking/Exploring Exporting","One-to-One Counseling,Peer Mentoring",Geographically Based,"","","","","","Arts,Construction,Management,Not for Profit,Personal Services,Wholesale","Asian,Hispanic,Immigrant,LGBTQ,Other,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Registration, Licenses, & Permits,Tax Credits","","Call Center Services,HUBZone Certification,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,International Trade Training,Market Research,Obtaining Corporate Contracts,Website Development",Formal Mentoring Programs,"Geographically Based,Industry Specific","","","","","","Education,Energy & Utilities,Not for Profit,Professional Services,Tourism","Veteran,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Insurance Requirements,International Regulatory Compliance,State and Federal Tax Training and Registration,Tax Credits","","E-Commerce/Internet Marketing,Feasibility Studies,Identification/Research of Foreign Markets,Locating Foreign Distributors,Market Research,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects","Formal Mentoring Programs,One-to-One Counseling","Geographically Based,Small Business/General","","","","","","Biosciences Services and Manufacturing,Information Technology,Management,Manufacturing,Wholesale","African American,Hispanic,Immigrant,LGBTQ"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,International Regulatory Compliance","","Call Center Services,Identification/Research of Foreign Markets,Market Plan Development and Training,Networking/Exploring Exporting,Obtaining Corporate Contracts,Subcontracting Opportunities,Trade Education and Training,Website Development","","Industry Specific,Small Business/General","","","","","","Biosciences Services and Manufacturing,Construction,Information Technology,Manufacturing,Personal Services,Restaurant & Hotel,Retail","Asian,Hispanic,Native American,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,International Regulatory Compliance,Patent, Trademark, & Copyright Information,State and Federal Tax Training and Registration","","E-Commerce/Internet Marketing,Identification/Research of Foreign Markets,International Trade Training,Market Research,Obtaining Corporate Contracts,Trade Education and Training",Peer Mentoring,"Geographically Based,Small Business/General","","","","","","Agriculture,Biosciences Services and Manufacturing,Education,Personal Services,Real Estate,Tourism","African American,Asian,Hispanic,Woman,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Government Requirements,Insurance Requirements,Registration, Licenses, & Permits","","Competitive Analysis,Import/Export Certification and Licensing,International Trade Training,Market Research,Obtaining Corporate Contracts,Subcontracting Opportunities","One-to-One Counseling,Peer Mentoring","","","","","","","Biosciences Services and Manufacturing,Education,Energy & Utilities,High Tech Services & Manufacturing,Not for Profit,Personal Services,Transportation & Warehousing","LGBTQ,Veteran,Woman,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Government Requirements,State and Federal Tax Training and Registration","","Bid Matching and Preparation,International Trade Training,Locating Foreign Distributors,Market Plan Development and Training,Trade Education and Training",Formal Mentoring Programs,"Demographically Based,Geographically Based,Networking/Exploring Exporting,Small Business/General","","","","","","Education,Information Technology,Personal Services,Wholesale","Native American,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,Tax Credits","","Bid Matching and Preparation,Call Center Services,Competitive Analysis,E-Commerce/Internet Marketing,Feasibility Studies,HUBZone Certification,Import/Export Certification and Licensing,International Trade Training,Subcontracting Opportunities","One-to-One Counseling,Peer Mentoring",Small Business/General,"","","","","","Education,Energy & Utilities,Fiance & Insurance,Health & Childcare,High Tech Services & Manufacturing,Not for Profit,Other Services,Tourism","Asian,LGBTQ,Native American,Other,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Insurance Requirements,Lease Review,Patent, Trademark, & Copyright Information,State and Federal Tax Training and Registration,Tax Credits","","Competitive Analysis,E-Commerce/Internet Marketing,HUBZone Certification,Import/Export Certification and Licensing,International Trade Training,Locating Foreign Distributors,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects,Subcontracting Opportunities","Formal Mentoring Programs,One-to-One Counseling,Peer Mentoring","Industry Specific,Networking/Exploring Exporting,Small Business/General","","","","","","High Tech Services & Manufacturing,Information Technology,Personal Services,Professional Services,Real Estate,Transportation & Warehousing,Wholesale","African American,Immigrant,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,International Regulatory Compliance,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits","","Call Center Services,Competitive Analysis,E-Commerce/Internet Marketing,Graphic Design,Networking/Exploring Exporting,Trade Education and Training,Website Development","","Demographically Based,Industry Specific","","","","","","Arts,Biosciences Services and Manufacturing,Education,Information Technology,Manufacturing,Professional Services,Tourism,Transportation & Warehousing","African American,Asian,Native American,Other,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,Insurance Requirements,Tax Credits","","Competitive Analysis,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Market Research,Obtaining Corporate Contracts,Student Research/Marketing Projects,Subcontracting Opportunities,Website Development","","Networking/Exploring Exporting,Small Business/General","","","","","","Agriculture,Construction,Management,Manufacturing,Retail,Wholesale","LGBTQ,Other,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Insurance Requirements,International Regulatory Compliance,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","E-Commerce/Internet Marketing,Graphic Design,Market Plan Development and Training,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Subcontracting Opportunities",Peer Mentoring,"Demographically Based,Networking/Exploring Exporting","","","","","","Biosciences Services and Manufacturing,Education,High Tech Services & Manufacturing,Not for Profit,Tourism,Wholesale","Asian,Hispanic,Other,Woman,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Government Requirements,International Regulatory Compliance,State and Federal Tax Training and Registration,Tax Credits","","Competitive Analysis,Feasibility Studies,HUBZone Certification,Import/Export Certification and Licensing,Market Research,Networking/Exploring Exporting,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects",Peer Mentoring,"Demographically Based,Small Business/General","","","","","","Management,Manufacturing,Restaurant & Hotel,Tourism","Native American,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","Bid Matching and Preparation,E-Commerce/Internet Marketing,Graphic Design,HUBZone Certification,Market Research,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses,Trade Education and Training","","Geographically Based,Small Business/General","","","","","","Construction,Health & Childcare,Real Estate,Retail,Tourism","African American,Immigrant,Native American,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,Insurance Requirements,Lease Review","","E-Commerce/Internet Marketing,Feasibility Studies,Import/Export Certification and Licensing,International Trade Training,Obtaining Corporate Contracts,Obtaining Government Contracts,Student Research/Marketing Projects,Trade Education and Training",Peer Mentoring,"Networking/Exploring Exporting,Small Business/General","","","","","","Energy & Utilities,High Tech Services & Manufacturing,Professional Services,Retail,Transportation & Warehousing","Hispanic,Immigrant,Other,Veteran,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,International Regulatory Compliance,Tax Credits","","Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Networking/Exploring Exporting,Obtaining Government Contracts,Student Research/Marketing Projects","Formal Mentoring Programs,One-to-One Counseling,Peer Mentoring",Industry Specific,"","","","","","Agriculture,Arts,Biosciences Services and Manufacturing,Fiance & Insurance,Manufacturing,Other Services,Personal Services","Asian,Hispanic,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance","","Call Center Services,E-Commerce/Internet Marketing,Identification/Research of Foreign Markets,Locating Foreign Distributors,Market Plan Development and Training,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Trade Education and Training",One-to-One Counseling,"","","","","","","Agriculture,Education,Energy & Utilities,Fiance & Insurance,High Tech Services & Manufacturing,Management,Other Services,Tourism","African American,LGBTQ,Native American,Other,Veteran,Woman,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Insurance Requirements,Registration, Licenses, & Permits","","Call Center Services,Competitive Analysis,Feasibility Studies,Graphic Design,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Market Research,Obtaining Corporate Contracts,Obtaining Government Contracts",Peer Mentoring,"Demographically Based,Networking/Exploring Exporting,Small Business/General","","","","","","Education,Energy & Utilities,Health & Childcare,Not for Profit,Other Services","African American,Asian,Other,Veteran,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,Government Requirements,Lease Review,State and Federal Tax Training and Registration","","Feasibility Studies,HUBZone Certification,Market Research,Selling to Foreign Governments and Businesses","Formal Mentoring Programs,One-to-One Counseling",Demographically Based,"","","","","","Agriculture,Energy & Utilities,Health & Childcare,Management,Not for Profit,Other Services,Professional Services,Restaurant & Hotel","Hispanic,Immigrant,Other,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",Government Requirements,"","Call Center Services,Graphic Design,Market Plan Development and Training,Website Development",Formal Mentoring Programs,"","","","","","","Arts,Construction,Fiance & Insurance,High Tech Services & Manufacturing,Other Services,Professional Services,Real Estate,Restaurant & Hotel,Retail,Transportation & Warehousing","Asian,Hispanic,Immigrant,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Forming a Business,Insurance Requirements","","Bid Matching and Preparation,Call Center Services,E-Commerce/Internet Marketing,Feasibility Studies,International Trade Training,Market Research,Obtaining Government Contracts,Subcontracting Opportunities,Website Development",Peer Mentoring,"","","","","","","Agriculture,Energy & Utilities,Fiance & Insurance,High Tech Services & Manufacturing,Management,Manufacturing,Real Estate","Asian,Immigrant"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,International Regulatory Compliance,Lease Review,State and Federal Tax Training and Registration","","Call Center Services,Feasibility Studies,International Trade Training,Locating Foreign Distributors,Networking/Exploring Exporting,Obtaining Government Contracts,Subcontracting Opportunities","","Demographically Based,Geographically Based,Industry Specific,Small Business/General","","","","","","Biosciences Services and Manufacturing,Fiance & Insurance,Management,Personal Services","Hispanic,Immigrant,LGBTQ,Veteran,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Government Requirements,Lease Review,State and Federal Tax Training and Registration,Tax Credits","","E-Commerce/Internet Marketing,Import/Export Certification and Licensing,Locating Foreign Distributors,Market Plan Development and Training,Obtaining Government Contracts,Subcontracting Opportunities",Formal Mentoring Programs,Small Business/General,"","","","","","Arts,Biosciences Services and Manufacturing,Construction,Energy & Utilities,Health & Childcare,Not for Profit,Other Services,Personal Services,Restaurant & Hotel,Tourism","Immigrant,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Patent, Trademark, & Copyright Information,State and Federal Tax Training and Registration","","Competitive Analysis,E-Commerce/Internet Marketing,Graphic Design,Identification/Research of Foreign Markets,Market Plan Development and Training,Obtaining Corporate Contracts,Obtaining Government Contracts,Student Research/Marketing Projects",Formal Mentoring Programs,"Geographically Based,Networking/Exploring Exporting","","","","","","Agriculture,Arts,Health & Childcare,Information Technology,Restaurant & Hotel,Tourism","Immigrant,LGBTQ,Native American,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Forming a Business,Insurance Requirements,International Regulatory Compliance,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","Call Center Services,Competitive Analysis,E-Commerce/Internet Marketing,Graphic Design,HUBZone Certification,International Trade Training,Locating Foreign Distributors,Obtaining Government Contracts,Subcontracting Opportunities","One-to-One Counseling,Peer Mentoring",Networking/Exploring Exporting,"","","","","","Arts,Biosciences Services and Manufacturing,Personal Services,Professional Services,Real Estate,Retail,Tourism,Transportation & Warehousing","Asian,Hispanic,LGBTQ,Native American,Other,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Lease Review","","Competitive Analysis,Feasibility Studies,Import/Export Certification and Licensing,International Trade Training,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects,Subcontracting Opportunities",One-to-One Counseling,"Geographically Based,Networking/Exploring Exporting,Small Business/General","","","","","","Manufacturing,Other Services,Personal Services,Real Estate,Tourism","Immigrant,Other,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Insurance Requirements,Patent, Trademark, & Copyright Information","","Bid Matching and Preparation,Call Center Services,Feasibility Studies,Import/Export Certification and Licensing,Selling to Foreign Governments and Businesses,Trade Education and Training,Website Development","Formal Mentoring Programs,Peer Mentoring","Industry Specific,Networking/Exploring Exporting,Small Business/General","","","","","","Agriculture,Arts,Construction,Personal Services,Retail,Tourism","African American,Veteran,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Lease Review,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,Tax Credits","","Competitive Analysis,HUBZone Certification,Identification/Research of Foreign Markets,Locating Foreign Distributors,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Subcontracting Opportunities","",Demographically Based,"","","","","","Energy & Utilities,Fiance & Insurance,Other Services,Retail,Transportation & Warehousing","Other,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Tax Credits","","Bid Matching and Preparation,Graphic Design,HUBZone Certification,Locating Foreign Distributors,Market Research,Obtaining Government Contracts,Website Development",Peer Mentoring,Demographically Based,"","","","","","Energy & Utilities,Personal Services,Retail,Wholesale","Immigrant,LGBTQ,Native American,Other,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Government Requirements,State and Federal Tax Training and Registration","","HUBZone Certification,Identification/Research of Foreign Markets,Locating Foreign Distributors,Obtaining Corporate Contracts,Student Research/Marketing Projects","Formal Mentoring Programs,One-to-One Counseling,Peer Mentoring",Geographically Based,"","","","","","Agriculture,Biosciences Services and Manufacturing,Health & Childcare,High Tech Services & Manufacturing,Manufacturing,Retail","Asian,Immigrant"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Insurance Requirements,International Regulatory Compliance,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","Bid Matching and Preparation,E-Commerce/Internet Marketing,HUBZone Certification,Locating Foreign Distributors,Market Plan Development and Training,Market Research,Obtaining Corporate Contracts,Subcontracting Opportunities,Trade Education and Training",Peer Mentoring,Demographically Based,"","","","","","Arts,Biosciences Services and Manufacturing,High Tech Services & Manufacturing,Not for Profit,Personal Services,Retail","Hispanic,LGBTQ,Veteran,Woman,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,International Regulatory Compliance,Lease Review,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,Tax Credits","","Competitive Analysis,Feasibility Studies,HUBZone Certification,Market Plan Development and Training,Obtaining Government Contracts,Selling to Foreign Governments and Businesses","One-to-One Counseling,Peer Mentoring",Networking/Exploring Exporting,"","","","","","Agriculture,Arts,Construction,High Tech Services & Manufacturing,Restaurant & Hotel,Retail,Tourism",Woman
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","","","Bid Matching and Preparation,E-Commerce/Internet Marketing","","Demographically Based,Networking/Exploring Exporting","","","","","","Biosciences Services and Manufacturing,Construction,Education,Information Technology,Management,Other Services,Restaurant & Hotel,Tourism","Native American,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","Bid Matching and Preparation,Feasibility Studies,Graphic Design,Subcontracting Opportunities,Website Development",Peer Mentoring,"Demographically Based,Geographically Based","","","","","","Biosciences Services and Manufacturing,Construction,Health & Childcare,Information Technology,Management,Other Services,Professional Services,Real Estate,Restaurant & Hotel,Retail,Wholesale","LGBTQ,Native American,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,International Regulatory Compliance,Lease Review,Registration, Licenses, & Permits","","Bid Matching and Preparation,Call Center Services,Feasibility Studies,Import/Export Certification and Licensing,Locating Foreign Distributors,Obtaining Corporate Contracts,Subcontracting Opportunities,Website Development",One-to-One Counseling,Industry Specific,"","","","","","Management,Manufacturing,Not for Profit,Restaurant & Hotel,Retail,Transportation & Warehousing","Hispanic,LGBTQ"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Government Requirements,Insurance Requirements,Lease Review,State and Federal Tax Training and Registration","","Bid Matching and Preparation,Call Center Services,Competitive Analysis,E-Commerce/Internet Marketing,Feasibility Studies,Identification/Research of Foreign Markets,International Trade Training,Networking/Exploring Exporting","",Networking/Exploring Exporting,"","","","","","Biosciences Services and Manufacturing,Education,Fiance & Insurance,Wholesale",African American
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",Tax Credits,"","Call Center Services,Market Research,Networking/Exploring Exporting,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects,Subcontracting Opportunities,Website Development","One-to-One Counseling,Peer Mentoring",Industry Specific,"","","","","","Construction,Health & Childcare,Personal Services,Professional Services,Real Estate,Restaurant & Hotel,Retail,Tourism","African American,Asian,Hispanic,Woman,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Forming a Business,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits","","Call Center Services,E-Commerce/Internet Marketing,Feasibility Studies,Identification/Research of Foreign Markets,Market Plan Development and Training,Obtaining Government Contracts,Selling to Foreign Governments and Businesses",Formal Mentoring Programs,Networking/Exploring Exporting,"","","","","","Arts,Biosciences Services and Manufacturing,Construction,Health & Childcare,Management,Not for Profit,Personal Services,Professional Services,Wholesale",Hispanic
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","International Regulatory Compliance,State and Federal Tax Training and Registration,Tax Credits","","Feasibility Studies,Graphic Design,International Trade Training","Formal Mentoring Programs,One-to-One Counseling,Peer Mentoring","Demographically Based,Industry Specific","","","","","","Biosciences Services and Manufacturing,Information Technology,Retail","African American,Immigrant,LGBTQ,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Government Requirements,International Regulatory Compliance,Lease Review,Tax Credits","","Feasibility Studies,HUBZone Certification,Locating Foreign Distributors,Obtaining Corporate Contracts,Student Research/Marketing Projects,Subcontracting Opportunities,Trade Education and Training","",Geographically Based,"","","","","","Biosciences Services and Manufacturing,Construction,Information Technology,Transportation & Warehousing,Wholesale","African American,Other,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Tax Credits","","Call Center Services,Graphic Design,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Market Plan Development and Training,Selling to Foreign Governments and Businesses,Subcontracting Opportunities,Website Development","Formal Mentoring Programs,Peer Mentoring","Demographically Based,Geographically Based","","","","","","Arts,Health & Childcare,Information Technology,Not for Profit,Retail,Tourism,Transportation & Warehousing","Hispanic,LGBTQ,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Forming a Business,Lease Review","","Graphic Design,HUBZone Certification,International Trade Training,Market Plan Development and Training,Market Research,Subcontracting Opportunities,Trade Education and Training",Formal Mentoring Programs,Geographically Based,"","","","","","Education,Fiance & Insurance,Health & Childcare,Management,Not for Profit,Other Services,Personal Services","Asian,Immigrant,Native American,Other,Veteran,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Government Requirements,Insurance Requirements","","E-Commerce/Internet Marketing,Graphic Design,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Networking/Exploring Exporting,Obtaining Corporate Contracts","Formal Mentoring Programs,One-to-One Counseling","Industry Specific,Networking/Exploring Exporting,Small Business/General","","","","","","Biosciences Services and Manufacturing,Construction,Energy & Utilities,Health & Childcare,Information Technology,Not for Profit,Professional Services,Real Estate,Retail","LGBTQ,Native American,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Insurance Requirements,Patent, Trademark, & Copyright Information","","Competitive Analysis,Feasibility Studies,Graphic Design,HUBZone Certification,Student Research/Marketing Projects,Website Development","One-to-One Counseling,Peer Mentoring","Geographically Based,Industry Specific,Small Business/General","","","","","","Health & Childcare,High Tech Services & Manufacturing,Information Technology,Manufacturing,Real Estate,Restaurant & Hotel,Tourism,Transportation & Warehousing",Immigrant
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Tax Credits","","Bid Matching and Preparation,Call Center Services,Identification/Research of Foreign Markets,Locating Foreign Distributors,Market Plan Development and Training,Selling to Foreign Governments and Businesses,Trade Education and Training",One-to-One Counseling,"Demographically Based,Networking/Exploring Exporting,Small Business/General","","","","","","Arts,Energy & Utilities,High Tech Services & Manufacturing,Information Technology,Management,Personal Services,Professional Services","African American,Immigrant,LGBTQ,Other,Woman,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",Lease Review,"","Competitive Analysis,E-Commerce/Internet Marketing,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,International Trade Training,Networking/Exploring Exporting,Obtaining Corporate Contracts","Formal Mentoring Programs,One-to-One Counseling","Geographically Based,Small Business/General","","","","","","Biosciences Services and Manufacturing,Construction,Education,Energy & Utilities,Fiance & Insurance,Information Technology,Professional Services,Restaurant & Hotel,Retail,Tourism",NOT TARGETED
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Insurance Requirements,International Regulatory Compliance,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits","","Bid Matching and Preparation,E-Commerce/Internet Marketing,Graphic Design,International Trade Training,Market Research,Networking/Exploring Exporting,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects",Peer Mentoring,Small Business/General,"","","","","","Arts,Energy & Utilities,Fiance & Insurance,Health & Childcare,Information Technology,Management,Personal Services,Tourism,Transportation & Warehousing","Hispanic,LGBTQ,Other,Veteran,Woman"
